0	47908
1	11073
2	34117
3	48065
4	28380
5	09186
6	13469
7	04475
8	31840
9	49878
10	29099
11	34973
12	06911
13	57299
14	46238
15	32181
16	36522
17	77260
18	43411
19	25168
20	25455
21	13960
22	13465
23	63310
24	44030
25	35121
26	41484
27	92605
28	04017
29	21444
30	21333
31	17527
32	88503
33	07389
34	27355
35	11377
36	02509
37	67901
38	31528
39	92321
40	55859
41	13761
42	94567
43	28084
44	98085
45	62814
46	87620
47	62934
48	47208
49	36109
50	00926
51	90666
52	57484
53	59671
54	34166
55	61326
56	39033
57	09012
58	69938
59	88778
60	90868
61	43786
62	45005
63	63399
64	38107
65	96899
66	12577
67	18076
68	85711
69	65397
70	81125
71	37259
72	30494
73	49879
74	95913
75	71882
76	39240
77	53190
78	07402
79	49999
80	59041
81	44054
82	57352
83	25853
84	11052
85	97722
86	59732
87	70252
88	49822
89	01258
90	94063
91	36381
92	96044
93	26187
94	64351
95	15605
96	16725
97	02777
98	61239
99	35073
100	13004
101	85304
102	69855
103	77277
104	48791
105	85887
106	68720
107	18010
108	99681
109	05973
110	19838
111	49339
112	48522
113	13905
114	87240
115	56544
116	89378
117	59630
118	09434
119	97205
120	24142
121	91309
122	93024
123	80208
124	20849
125	68310
126	41291
127	65032
128	76641
129	27973
130	87326
131	72615
132	84565
133	67760
134	60535
135	92569
136	39147
137	38071
138	96551
139	93396
140	42064
141	93390
142	37263
143	08589
144	39928
145	20466
146	30210
147	80183
148	90084
149	08790
150	94056
151	99145
152	54109
153	75630
154	92992
155	16032
156	53835
157	45538
158	58620
159	20846
160	39946
161	78030
162	88998
163	62011
164	18139
165	40695
166	21915
167	75362
168	63951
169	95135
170	23715
171	77857
172	41889
173	37416
174	72366
175	39300
176	88229
177	82061
178	39473
179	90156
180	54043
181	26208
182	21383
183	15391
184	58875
185	55415
186	41269
187	44550
188	84517
189	22328
190	37034
191	07135
192	10435
193	01283
194	99523
195	41196
196	37435
197	77086
198	86115
199	65636
200	38400
201	03765
202	72618
203	54913
204	90346
205	83380
206	32777
207	62210
208	58883
209	64662
210	10152
211	41665
212	49170
213	52093
214	34733
215	68749
216	15490
217	55456
218	84289
219	20350
220	83290
221	29335
222	38366
223	90121
224	85697
225	69860
226	66635
227	36771
228	50457
229	05501
230	13044
231	05592
232	04795
233	21013
234	28765
235	09565
236	37662
237	27885
238	22737
239	85550
240	50679
241	81026
242	75554
243	15846
244	38360
245	54406
246	72969
247	33677
248	86188
249	15291
250	62463
251	50814
252	32420
253	73227
254	48629
255	59011
256	41394
257	05904
258	83303
259	30882
260	83574
261	22484
262	28206
263	27144
264	93296
265	66753
266	26260
267	84841
268	20602
269	66818
270	76224
271	47309
272	88792
273	87596
274	40481
275	46981
276	36788
277	97411
278	45873
279	26882
280	23053
281	29808
282	81884
283	97595
284	03671
285	64784
286	61206
287	52701
288	94643
289	45545
290	87089
291	94447
292	43164
293	38245
294	26052
295	45642
296	49849
297	89100
298	95905
299	89130
300	73620
301	40968
302	68729
303	97925
304	87955
305	46650
306	25502
307	29741
308	20709
309	66524
310	24803
311	54867
312	87532
313	13288
314	92411
315	76791
316	23858
317	36114
318	59049
319	13970
320	04857
321	86204
322	40110
323	18744
324	72436
