cardinality,raw_value,multiset
0,0,\x138B48
1.0002442201269182,2701,\x138B4851A1
2.000977198748901,1073743471,\x138B4851A1CDF4
3.0021994137521975,8389884,\x138B4851A19F8DCDF4
4.003911343725148,1099511628261,\x138B483CBE51A19F8DCDF4
5.006113467958146,1073743403,\x138B483CBE51A19F8DC574CDF4
6.008806266444944,68719478130,\x138B483CBE51A19F8DAE5AC574CDF4
7.011990219885757,17179870278,\x138B483CBE51A188D89F8DAE5AC574CDF4
8.015665809687173,262988,\x138B483CBE51A1698888D89F8DAE5AC574CDF4
9.019833517963864,1049167,\x138B483CBE49EA51A1698888D89F8DAE5AC574CDF4
10.024493827539368,8389207,\x138B483CBE49EA4AED51A1698888D89F8DAE5AC574CDF4
11.029647221949576,1099511629697,\x138B483CBE49EA4AED51A1698888D89F8DAE5AC574CDF4F03E
12.03529418544122,549755814205,\x138B4827BD3CBE49EA4AED51A1698888D89F8DAE5AC574CDF4F03E
13.041435202975777,1099511628388,\x138B4827BD3CBE49EA4AED4C9E51A1698888D89F8DAE5AC574CDF4F03E
14.048070760229278,2199023257308,\x138B4827BD3CBE49EA4AED4C9E51A1698888D89F8DAE5AC574CDF4DB9FF03E
15.05520134359392,549755815163,\x138B4827BD3CBE49EA4AED4C9E51A1698888D89F7D9F8DAE5AC574CDF4DB9FF03E
16.062827440181,67109142,\x138B4822D027BD3CBE49EA4AED4C9E51A1698888D89F7D9F8DAE5AC574CDF4DB9FF03E
17.070949537820233,2199023256959,\x138B4822D027BD3CBE49EA4AED4C9E51A1698888D89F7D9F8DAE5AAFFFC574CDF4DB9FF03E
18.079568125061755,4167,\x138B4808E222D027BD3CBE49EA4AED4C9E51A1698888D89F7D9F8DAE5AAFFFC574CDF4DB9FF03E
19.088683691179465,68719477059,\x138B4808E222D027BD287A3CBE49EA4AED4C9E51A1698888D89F7D9F8DAE5AAFFFC574CDF4DB9FF03E
20.098296726168925,16778423,\x138B4808E222D027BD287A3CBE49EA4AED4C9E51A1698888D896EE9F7D9F8DAE5AAFFFC574CDF4DB9FF03E
21.108407720752034,17179870129,\x138B4808E222D027BD287A3CBE49EA4AED4C9E51A16988763888D896EE9F7D9F8DAE5AAFFFC574CDF4DB9FF03E
22.119017166376235,1073743798,\x138B4808E222D027BD287A3CBE49EA4AED4C9E51A16988763888D896EE9F7D9F8DAE5AAFFFC574CDF4DB9FF03EF6D4
23.130125555218253,268436587,\x138B4808E222D027BD287A3CBE49EA4AED4C9E51A16988763888D88D7296EE9F7D9F8DAE5AAFFFC574CDF4DB9FF03EF6D4
24.14173338018237,549755813960,\x138B4808E2091D22D027BD287A3CBE49EA4AED4C9E51A16988763888D88D7296EE9F7D9F8DAE5AAFFFC574CDF4DB9FF03EF6D4
